data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,passive_processed_packets_per_sec,passive_alerts_per_sec,passive_daq_drops_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,passive,1,256,45,10657.292,45.0762,85.8835,66.2827,10204.4332,288.7065,1474.2892,0.0038,0.7333,50.0
train,passive,4,256,50,11268.1152,50.011,32.6454,67.4783,11139.7319,302.3333,4.4611,0.0047,0.6667,50.0
train,passive,2,896,70,13358.2344,69.95,59.1919,30.0832,12726.837,292.4573,86.8287,0.1511,0.3994,50.0
train,passive,3,1024,70,13370.498,69.9292,45.7097,30.1005,16660.9647,286.2689,0.0,0.4148,0.3987,50.0
train,passive,4,1024,80,14460.4165,79.992,33.1764,31.475,13541.9388,289.1064,4.7932,0.0346,0.2665,50.0
train,passive,3,640,50,11190.2511,50.0065,43.2793,32.8493,13692.0555,302.3333,0.0,0.6718,0.6653,50.0
train,passive,4,768,35,9555.0295,34.9983,29.2562,32.1517,12198.075,302.3333,0.0,0.0871,0.8656,50.0
train,passive,2,384,90,15562.3255,89.9752,64.8022,48.0172,16120.5093,302.3333,0.0,0.6655,0.1328,50.0
train,passive,2,768,80,14460.7101,79.9622,60.7891,30.2928,15763.3601,301.2819,51.6199,0.2004,0.2659,50.0
train,passive,1,512,40,10152.8483,39.9749,81.6323,30.5704,14968.2931,302.3333,561.1586,0.0027,0.8,50.0
train,passive,1,768,65,12842.7645,65.0137,81.2638,30.4487,12996.0043,274.0963,523.0168,0.0073,0.4667,50.0
train,passive,4,512,90,15545.309,90.0066,31.4534,32.5443,21041.1721,302.3333,0.0,0.0263,0.1331,50.0
train,passive,3,256,100,16653.0,100.1158,54.1778,65.1281,16654.4,301.4222,2.2667,0.0141,0.0033,50.0
train,passive,2,896,45,10636.8777,44.9886,56.6025,29.8763,10622.4432,293.387,29.9282,0.2651,0.7323,50.0
train,passive,4,256,30,9121.7168,30.0246,31.7274,67.6568,10522.1952,302.3333,0.0,0.0009,0.9333,50.0
train,passive,4,640,40,10096.5126,39.9744,28.8699,32.082,15127.4986,302.3333,0.0,0.0845,0.7988,50.0
train,passive,3,1024,70,13369.8297,69.92,45.5355,29.959,17373.6732,297.4479,0.0,0.4148,0.3987,50.0
train,passive,2,640,100,16650.1398,99.9451,62.7244,30.269,17007.7953,302.3333,43.1769,0.0141,0.0,50.0
train,passive,1,896,99999,19006.503,127.1315,94.5886,29.0337,13170.4881,198.4889,3781.6015,0.0017,0.0,50.0
